step,Qk_bin_0,Qk_bin_1,Qk_bin_2,Qk_bin_3,Qk_bin_4,Qk_bin_5,Qk_bin_6,Qk_bin_7,Qk_bin_8,Qk_bin_9,Qk_bin_10,Qk_bin_11,Qk_bin_12,Qk_bin_13,Qk_bin_14,Qk_bin_15,Qk_bin_16,Qk_bin_17,Qk_bin_18,Qk_bin_19,Qk_bin_20,Qk_bin_21,Qk_bin_22,Qk_bin_23,Qk_bin_24,Qk_bin_25,Qk_bin_26,Qk_bin_27,Qk_bin_28,Qk_bin_29
0,1.0,2.2132316e-17,5.749582e-17,-2.5312153e-21,3.4613117e-19,-1.8106005e-18,-2.5426945e-18,-2.0266705e-18,3.902088e-18,-1.9598589e-18,-4.3330406e-19,9.011018e-19,-1.6477006e-18,2.6062778e-18,2.730208e-18,5.1665223e-20,1.743733e-18,-1.9833002e-17,1.0549477e-18,-1.4507598e-18,-1.6140437e-19,7.718789e-20,-5.4766046e-19,-6.4717784e-20,-2.05947e-19,0.0,0.0,0.0,0.0,0.0
1,1.0,2.315275e-17,1.3672963e-16,7.452233e-19,2.7550613e-18,-6.93088e-20,6.778723e-18,1.4799417e-18,1.0253324e-17,2.3781285e-21,8.762192e-19,1.833995e-18,-2.6912129e-18,3.128363e-18,-1.1545275e-18,3.0599005e-18,3.5915392e-18,-5.7191704e-17,-1.400095e-18,-2.0197783e-19,1.2220675e-19,-9.224353e-19,1.1696116e-18,1.9394603e-19,-1.0360964e-18,0.0,0.0,0.0,0.0,0.0
2,1.0,6.364393e-17,2.8903207e-16,4.5647533e-19,-1.0318525e-18,1.7268336e-18,1.0361388e-17,1.3917194e-18,4.66669e-17,1.2721947e-18,-1.090255e-18,5.648417e-18,-2.0648183e-17,2.3848531e-18,3.0863651e-18,7.435264e-18,-3.2182893e-18,-3.983552e-17,-8.00521e-19,-5.4029147e-19,2.4235079e-18,-1.8389048e-18,-9.750227e-19,9.317224e-20,-7.5531936e-20,0.0,0.0,0.0,0.0,0.0
3,1.0,1.3632549e-16,4.6050937e-16,-2.0052401e-19,1.1607351e-18,-1.5769704e-18,1.7858237e-17,8.1793573e-19,6.802246e-17,-4.556329e-19,-6.2996417e-18,-2.4829344e-18,-2.2626801e-17,-1.4779377e-19,-4.2858045e-19,7.484762e-18,2.2596258e-18,-3.8814104e-17,-1.0202436e-20,1.4995104e-18,9.649986e-19,2.2525464e-18,-2.8777227e-18,4.2444077e-19,-5.3063497e-19,0.0,0.0,0.0,0.0,0.0
4,1.0,2.274352e-16,6.588735e-16,3.3651157e-19,2.8697786e-18,-6.500192e-19,1.4373982e-17,-1.5845644e-18,1.852937e-17,2.7938631e-18,-2.524079e-18,7.539461e-18,-2.115481e-17,-1.4863586e-18,4.9269385e-19,-9.459467e-19,4.3638335e-18,-5.739542e-17,-1.0562934e-18,-2.194856e-18,-4.660377e-18,-1.3833559e-18,-4.004807e-19,-1.3075688e-18,-2.6346278e-20,0.0,0.0,0.0,0.0,0.0
5,1.0,3.1307974e-16,8.299302e-16,-7.63824e-19,7.532656e-18,2.8882407e-19,2.0362128e-17,-4.4419566e-18,5.7873275e-17,-2.3992583e-18,-3.3984281e-18,5.7971394e-18,-3.1889298e-17,7.273822e-18,3.0649023e-18,-6.2336116e-18,1.00336165e-17,-2.6624477e-16,-2.0470607e-18,-4.808602e-18,1.4656635e-18,-2.8430667e-18,-4.1518002e-18,-8.405382e-19,7.533895e-19,0.0,0.0,0.0,0.0,0.0
6,1.0,4.538396e-16,1.0920058e-15,5.61129e-19,-2.524329e-18,-2.1507908e-18,1.8810757e-17,4.0083014e-19,1.2999052e-16,-8.893645e-19,4.9754347e-18,-5.8509686e-18,-1.0144752e-17,1.993737e-17,4.274503e-18,-5.0189953e-18,-3.6687024e-18,-1.8880352e-16,-1.5535398e-19,1.4704892e-18,1.1597636e-18,-4.925878e-19,2.696814e-18,-1.1287075e-18,-2.4712907e-19,0.0,0.0,0.0,0.0,0.0
7,1.0,6.528818e-16,1.2566819e-15,2.1970124e-18,4.9586297e-18,-4.128839e-18,4.8773216e-17,2.8127828e-18,4.9686787e-17,-3.5371844e-18,-4.8920657e-18,-1.7985663e-19,-4.4105528e-17,5.211819e-17,-1.06648645e-17,-9.8012085e-18,6.384603e-18,-1.6469044e-16,-6.07888e-19,4.0334183e-18,1.9283778e-18,2.1162237e-18,2.3266107e-18,1.2992036e-18,2.505923e-18,0.0,0.0,0.0,0.0,0.0
8,1.0,8.1998126e-16,1.6997839e-15,1.682285e-18,3.8672795e-18,2.2302853e-18,3.616253e-17,-1.1204276e-18,1.1564518e-16,-1.2423207e-18,-5.373831e-18,6.1111082e-18,-1.4489432e-17,3.059979e-17,-1.3517402e-18,-1.3826213e-18,-5.3676383e-18,-1.5979112e-16,-2.5152438e-19,2.8800963e-18,-5.5095895e-18,-3.0276715e-18,4.609372e-19,1.4025807e-18,-4.177995e-18,0.0,0.0,0.0,0.0,0.0
9,1.0,1.055078e-15,2.0240039e-15,1.0386474e-18,9.85653e-18,1.3627078e-18,1.2438174e-17,5.621403e-18,6.800796e-17,-2.8425718e-18,-1.4252046e-17,1.9482507e-19,-1.8072207e-17,-4.4009644e-18,-4.703663e-18,-1.01012385e-17,5.0207506e-18,-2.7143216e-16,2.6727103e-18,-4.221731e-18,-7.0750665e-19,3.2621212e-18,-7.144397e-19,-3.1605928e-19,1.5399795e-18,0.0,0.0,0.0,0.0,0.0
