k,E(k),H(k)
0.5,2576.6414225035987,0.0
1.5,16486746996.636415,15539031.912668679
2.5,548658.595037514,-9971.736977996363
3.5,240161.96120776905,158213.08944210244
4.5,376968.1950192763,-75179.78836456244
5.5,693120.3624584437,-135338.5500229325
6.5,680228.6238354057,-76564.79398946905
7.5,1231867.5143184452,-360350.0719961531
8.5,1346794.8681563525,365458.4652428066
9.5,1809135.5358070924,-763576.443717149
10.5,2209715.274280695,-186738.85280045678
11.5,2576437.0248386916,63958.5173800004
12.5,3252287.9213328706,-2411519.23226467
13.5,3709186.144557601,1309701.2655684764
14.5,3963301.118516197,210304.51207647537
15.5,4726343.246341261,-892543.8792106991
16.5,5305246.408889572,-3113706.072583997
17.5,6109032.371423572,-942918.0448105264
18.5,6719901.433676105,-1219607.473721305
19.5,7586304.013259144,757254.655617141
20.5,8117198.810694371,1363022.5853825782
21.5,8984363.238608161,-2490574.497343745
22.5,9970848.257051634,-4436850.719429694
23.5,10910080.51494286,6457385.833911825
24.5,11537749.848247115,3558458.2064677603
25.5,12821208.308856657,6926092.843391178
26.5,13718381.94390945,4641216.886747143
27.5,15178689.02032071,1189246.264875025
28.5,15399733.833620502,-10183912.10007103
29.5,17283075.619529195,281313.82888182806
30.5,17957903.728907913,-4113680.3464411595
31.5,20223312.312278762,4988895.916583364
32.5,20705459.47264251,6182599.607702176
33.5,22492852.22919173,2351730.788670316
34.5,23344890.435013123,-9372288.56123993
35.5,24844829.59326313,-4941977.705193608
36.5,26216179.531257592,6428697.259463317
37.5,27781357.293867208,6246174.649469939
38.5,29420344.041292835,-6171911.841089105
39.5,30837126.48290778,-20869791.435610387
40.5,32118385.53968207,1340409.5916103194
41.5,34413711.68683777,-18128559.6543276
42.5,35873078.057008006,-7861655.956165799
43.5,37887146.09543869,5495571.83512135
44.5,39253908.92893005,-8917301.146223594
45.5,40992565.75055068,2938448.07807777
46.5,42053424.76323246,-30156504.795429643
47.5,44890182.4220696,-8221692.2056839885
48.5,46339360.00097225,-2873224.032269018
49.5,48644475.05036012,9228303.69031714
50.5,49743655.780183576,-13765169.893984403
51.5,53063324.34864098,3021541.9580108086
52.5,53838804.0760628,51220697.23197865
53.5,57008375.22465639,23221368.695158537
54.5,57673333.58032555,5545610.1647688225
55.5,61470940.817379594,-1997014.130247789
56.5,63161649.7864295,-30154187.463872027
57.5,64655408.96131357,-3640168.380575142
58.5,68215750.38147758,26649647.49820155
59.5,69428009.0507424,50835584.21579743
60.5,73135655.61429383,-15139529.40575082
61.5,74302595.68394583,14151756.709409801
62.5,77269335.43345097,-27709012.362756215
63.5,80468522.00688584,7417440.112395871
64.5,79247730.84554742,41007722.6650351
65.5,80083953.13123824,-14078221.88722943
66.5,76798918.68667313,-7267432.703238664
67.5,76179797.87128621,6724792.66663499
68.5,74803386.6752595,-17494190.99170212
69.5,72448378.68451215,-10312462.529246792
70.5,70579962.89600846,31284988.193499282
71.5,69571150.63833535,-18232224.584450174
72.5,67206687.97197329,-41605190.21756721
73.5,65914553.03800813,19549707.22216343
74.5,62811648.921467386,43561755.977154605
75.5,61621656.195866555,-28187319.025956575
76.5,57838893.81575814,-13696552.2643735
77.5,56739314.32168345,31102085.440104563
78.5,54529514.77793964,28056653.15177162
79.5,51600941.66437443,-15157863.35023486
80.5,49190550.51894497,58359453.34464103
81.5,46246977.532935165,9922832.099674148
82.5,44944810.22206611,5644971.431354389
83.5,41220743.23032619,-27021673.861851096
84.5,38356471.48565315,50374520.32736068
85.5,35616348.61481427,-16761711.090131572
86.5,32120833.200819705,10641534.604562648
87.5,30240131.29658191,-16508924.553722741
88.5,25413696.863759954,20859472.61771628
89.5,22990801.619340867,-11365735.576309312
90.5,19991338.370881934,4833441.024819905
91.5,17123668.885952283,-19267562.13864909
92.5,14941833.385971984,3193912.08935214
93.5,13005480.61712663,29902602.05643688
94.5,11026319.211840264,18658257.637265716
95.5,9526690.775277006,27496418.097223297
96.5,7720868.363611573,3118235.9485789244
97.5,7510469.014068154,14389711.29126543
98.5,5633613.253159545,-1891766.6483008608
99.5,4922607.377000948,5958121.037279747
100.5,3878915.7833528267,-2012981.485034779
101.5,3544352.1115460126,-15252152.797265789
102.5,2599396.7230187636,-4426910.585663188
103.5,1759076.4281539894,4588625.496973985
104.5,1260468.0506345648,-494546.90317065315
105.5,1105660.1224000913,6289245.186390736
106.5,727220.5096932744,-5764136.945303033
107.5,325721.9686306199,-3854476.7883000686
108.5,161586.38811712057,473624.67837021174
109.5,104104.41569348113,2349885.5364348334
